"","region","supplysector","subsector0","subsector","year","lifetime","steepness","half.life","stub.technology"
"72","AK","base load generation","coal","coal_base_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (recirculating)"
"73","AK","base load generation","coal","coal_base_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (cooling pond)"
"74","AK","base load generation","coal","coal_base_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (dry cooling)"
"75","AK","intermediate generation","coal","coal_int_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (once through)"
"76","AK","intermediate generation","coal","coal_int_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (recirculating)"
"77","AK","intermediate generation","coal","coal_int_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (cooling pond)"
"78","AK","intermediate generation","coal","coal_int_conv pul 1996-2000",2015,63,0.3,55,"coal (conv pul) (dry cooling)"
"79","AK","base load generation","coal","coal_base_conv pul",2015,60,0.3,50,"coal (conv pul) (once through)"
"80","AK","base load generation","coal","coal_base_conv pul",2015,60,0.3,50,"coal (conv pul) (recirculating)"
"81","AK","base load generation","coal","coal_base_conv pul",2015,60,0.3,50,"coal (conv pul) (cooling pond)"
"82","AK","base load generation","coal","coal_base_conv pul",2015,60,0.3,50,"coal (conv pul) (dry cooling)"
"83","AK","base load generation","coal","coal_base_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (once through)"
"84","AK","base load generation","coal","coal_base_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (recirculating)"
"85","AK","base load generation","coal","coal_base_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (cooling pond)"
"86","AK","base load generation","coal","coal_base_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (dry cooling)"
"87","AK","intermediate generation","coal","coal_int_conv pul",2015,60,0.3,50,"coal (conv pul) (once through)"
"88","AK","intermediate generation","coal","coal_int_conv pul",2015,60,0.3,50,"coal (conv pul) (recirculating)"
"89","AK","intermediate generation","coal","coal_int_conv pul",2015,60,0.3,50,"coal (conv pul) (cooling pond)"
"90","AK","intermediate generation","coal","coal_int_conv pul",2015,60,0.3,50,"coal (conv pul) (dry cooling)"
"91","AK","intermediate generation","coal","coal_int_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (once through)"
"92","AK","intermediate generation","coal","coal_int_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (recirculating)"
"93","AK","intermediate generation","coal","coal_int_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (cooling pond)"
"94","AK","intermediate generation","coal","coal_int_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (dry cooling)"
"95","AK","peak generation","coal","coal_peak_conv pul",2015,60,0.3,50,"coal (conv pul) (once through)"
"96","AK","peak generation","coal","coal_peak_conv pul",2015,60,0.3,50,"coal (conv pul) (recirculating)"
"97","AK","peak generation","coal","coal_peak_conv pul",2015,60,0.3,50,"coal (conv pul) (cooling pond)"
"98","AK","peak generation","coal","coal_peak_conv pul",2015,60,0.3,50,"coal (conv pul) (dry cooling)"
"99","AK","peak generation","coal","coal_peak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (once through)"
"100","AK","peak generation","coal","coal_peak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (recirculating)"
"101","AK","peak generation","coal","coal_peak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (cooling pond)"
"102","AK","peak generation","coal","coal_peak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (dry cooling)"
"103","AK","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (once through)"
"104","AK","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (recirculating)"
"105","AK","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (cooling pond)"
"106","AK","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (dry cooling)"
"107","AK","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (once through)"
"108","AK","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (recirculating)"
"109","AK","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (cooling pond)"
"110","AK","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (dry cooling)"
"111","AL","base load generation","coal","coal_base_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (seawater)"
"112","AL","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (seawater)"
"113","AL","base load generation","coal","coal_base_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (seawater)"
"114","AL","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (seawater)"
"115","AL","base load generation","coal","coal_base_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (seawater)"
"116","AL","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (seawater)"
"117","AL","base load generation","coal","coal_base_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (seawater)"
"118","AL","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (seawater)"
"119","AL","base load generation","coal","coal_base_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (seawater)"
"120","AL","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (seawater)"
"121","AL","base load generation","coal","coal_base_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (seawater)"
"122","AL","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (seawater)"
"123","AL","base load generation","coal","coal_base_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (seawater)"
"124","AL","intermediate generation","coal","coal_int_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (seawater)"
"125","AL","base load generation","coal","coal_base_conv pul",2015,60,0.3,50,"coal (conv pul) (seawater)"
"126","AL","base load generation","coal","coal_base_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (seawater)"
"127","AL","intermediate generation","coal","coal_int_conv pul",2015,60,0.3,50,"coal (conv pul) (seawater)"
"128","AL","intermediate generation","coal","coal_int_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (seawater)"
"129","AL","peak generation","coal","coal_peak_conv pul",2015,60,0.3,50,"coal (conv pul) (seawater)"
"130","AL","peak generation","coal","coal_peak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (seawater)"
"131","AL","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.3,50,"coal (conv pul) (seawater)"
"132","AL","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,5,0.1,2.5,"coal (conv pul) (seawater)"
"133","AL","base load generation","coal","coal_base_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (once through)"
"134","AL","base load generation","coal","coal_base_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (recirculating)"
"135","AL","base load generation","coal","coal_base_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (cooling pond)"
"136","AL","base load generation","coal","coal_base_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (dry cooling)"
"137","AL","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (once through)"
"138","AL","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (recirculating)"
"139","AL","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (cooling pond)"
"140","AL","intermediate generation","coal","coal_int_conv pul 1956-1960",2015,4,0.3,4,"coal (conv pul) (dry cooling)"
"141","AL","base load generation","coal","coal_base_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (once through)"
"142","AL","base load generation","coal","coal_base_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (recirculating)"
"143","AL","base load generation","coal","coal_base_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (cooling pond)"
"144","AL","base load generation","coal","coal_base_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (dry cooling)"
"145","AL","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (once through)"
"146","AL","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (recirculating)"
"147","AL","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (cooling pond)"
"148","AL","intermediate generation","coal","coal_int_conv pul 1966-1970",2015,30,0.3,26,"coal (conv pul) (dry cooling)"
"149","AL","base load generation","coal","coal_base_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (once through)"
"150","AL","base load generation","coal","coal_base_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (recirculating)"
"151","AL","base load generation","coal","coal_base_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (cooling pond)"
"152","AL","base load generation","coal","coal_base_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (dry cooling)"
"153","AL","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (once through)"
"154","AL","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (recirculating)"
"155","AL","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (cooling pond)"
"156","AL","intermediate generation","coal","coal_int_conv pul 1971-1975",2015,27,0.3,24,"coal (conv pul) (dry cooling)"
"157","AL","base load generation","coal","coal_base_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (once through)"
"158","AL","base load generation","coal","coal_base_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (recirculating)"
"159","AL","base load generation","coal","coal_base_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (cooling pond)"
"160","AL","base load generation","coal","coal_base_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (dry cooling)"
"161","AL","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (once through)"
"162","AL","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (recirculating)"
"163","AL","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (cooling pond)"
"164","AL","intermediate generation","coal","coal_int_conv pul 1976-1980",2015,28,0.3,24,"coal (conv pul) (dry cooling)"
"165","AL","base load generation","coal","coal_base_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (once through)"
"166","AL","base load generation","coal","coal_base_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (recirculating)"
"167","AL","base load generation","coal","coal_base_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (cooling pond)"
"168","AL","base load generation","coal","coal_base_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (dry cooling)"
"169","AL","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (once through)"
"170","AL","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (recirculating)"
