"","sector.name","subsector.name0","subsector.name","year","lifetime","technology"
"94","base load generation","coal","coal_base_IGCC",2025,60,"coal (IGCC) (once through)"
"95","base load generation","coal","coal_base_IGCC",2025,60,"coal (IGCC) (seawater)"
"96","base load generation","coal","coal_base_IGCC",2025,60,"coal (IGCC) (recirculating)"
"97","base load generation","coal","coal_base_IGCC",2025,60,"coal (IGCC) (dry cooling)"
"98","base load generation","coal","coal_base_IGCC_CCS",2025,60,"coal (IGCC CCS) (once through)"
"99","base load generation","coal","coal_base_IGCC_CCS",2025,60,"coal (IGCC CCS) (seawater)"
"100","base load generation","coal","coal_base_IGCC_CCS",2025,60,"coal (IGCC CCS) (recirculating)"
"101","base load generation","coal","coal_base_IGCC_CCS",2025,60,"coal (IGCC CCS) (dry cooling)"
"102","base load generation","gas","gas_base_CC",2025,45,"gas (CC) (once through)"
"103","base load generation","gas","gas_base_CC",2025,45,"gas (CC) (seawater)"
"104","base load generation","gas","gas_base_CC",2025,45,"gas (CC) (recirculating)"
"105","base load generation","gas","gas_base_CC",2025,45,"gas (CC) (cooling pond)"
"106","base load generation","gas","gas_base_CC",2025,45,"gas (CC) (dry cooling)"
"107","base load generation","gas","gas_base_CC_CCS",2025,45,"gas (CC CCS) (once through)"
"108","base load generation","gas","gas_base_CC_CCS",2025,45,"gas (CC CCS) (seawater)"
"109","base load generation","gas","gas_base_CC_CCS",2025,45,"gas (CC CCS) (recirculating)"
"110","base load generation","gas","gas_base_CC_CCS",2025,45,"gas (CC CCS) (dry cooling)"
"111","base load generation","geothermal","geo_base",2025,30,"geothermal (recirculating)"
"112","base load generation","geothermal","geo_base",2025,30,"geothermal (dry_hybrid)"
"113","base load generation","nuclear","nuc_base_Gen III",2025,60,"Gen_III (once through)"
"114","base load generation","nuclear","nuc_base_Gen III",2025,60,"Gen_III (seawater)"
"115","base load generation","nuclear","nuc_base_Gen III",2025,60,"Gen_III (recirculating)"
"116","base load generation","nuclear","nuc_base_Gen III",2025,60,"Gen_III (cooling pond)"
"117","base load generation","refined liquids","refined liquids_base_steam/CT",2025,45,"refined liquids (steam/CT) (once through)"
"118","base load generation","refined liquids","refined liquids_base_steam/CT",2025,45,"refined liquids (steam/CT) (seawater)"
"119","base load generation","refined liquids","refined liquids_base_steam/CT",2025,45,"refined liquids (steam/CT) (recirculating)"
"120","base load generation","refined liquids","refined liquids_base_steam/CT",2025,45,"refined liquids (steam/CT) (cooling pond)"
"121","base load generation","refined liquids","refined liquids_base_steam/CT",2025,45,"refined liquids (steam/CT) (dry cooling)"
"122","base load generation","refined liquids","refined liquids_base_CC",2025,45,"refined liquids (CC) (once through)"
"123","base load generation","refined liquids","refined liquids_base_CC",2025,45,"refined liquids (CC) (seawater)"
"124","base load generation","refined liquids","refined liquids_base_CC",2025,45,"refined liquids (CC) (recirculating)"
"125","base load generation","refined liquids","refined liquids_base_CC",2025,45,"refined liquids (CC) (dry cooling)"
"126","base load generation","refined liquids","refined liquids_base_CC_CCS",2025,45,"refined liquids (CC CCS) (once through)"
"127","base load generation","refined liquids","refined liquids_base_CC_CCS",2025,45,"refined liquids (CC CCS) (seawater)"
"128","base load generation","refined liquids","refined liquids_base_CC_CCS",2025,45,"refined liquids (CC CCS) (recirculating)"
"129","base load generation","refined liquids","refined liquids_base_CC_CCS",2025,45,"refined liquids (CC CCS) (dry cooling)"
"130","base load generation","solar","PV_base_storage",2025,30,"PV_base_storage"
"131","base load generation","solar","CSP_base_storage",2025,30,"CSP_base_storage"
"132","base load generation","wind","wind_base_storage",2025,30,"wind_base_storage"
"133","base load generation","biomass","biomass_base_conv",2030,60,"biomass (conv) (once through)"
"134","base load generation","biomass","biomass_base_conv",2030,60,"biomass (conv) (seawater)"
"135","base load generation","biomass","biomass_base_conv",2030,60,"biomass (conv) (recirculating)"
"136","base load generation","biomass","biomass_base_conv",2030,60,"biomass (conv) (cooling pond)"
"137","base load generation","biomass","biomass_base_conv",2030,60,"biomass (conv) (dry cooling)"
"138","base load generation","biomass","biomass_base_conv_CCS",2030,60,"biomass (conv CCS) (once through)"
"139","base load generation","biomass","biomass_base_conv_CCS",2030,60,"biomass (conv CCS) (seawater)"
"140","base load generation","biomass","biomass_base_conv_CCS",2030,60,"biomass (conv CCS) (recirculating)"
"141","base load generation","biomass","biomass_base_conv_CCS",2030,60,"biomass (conv CCS) (dry cooling)"
"142","base load generation","biomass","biomass_base_IGCC",2030,60,"biomass (IGCC) (once through)"
"143","base load generation","biomass","biomass_base_IGCC",2030,60,"biomass (IGCC) (seawater)"
"144","base load generation","biomass","biomass_base_IGCC",2030,60,"biomass (IGCC) (recirculating)"
"145","base load generation","biomass","biomass_base_IGCC",2030,60,"biomass (IGCC) (dry cooling)"
"146","base load generation","biomass","biomass_base_IGCC_CCS",2030,60,"biomass (IGCC CCS) (once through)"
"147","base load generation","biomass","biomass_base_IGCC_CCS",2030,60,"biomass (IGCC CCS) (seawater)"
"148","base load generation","biomass","biomass_base_IGCC_CCS",2030,60,"biomass (IGCC CCS) (recirculating)"
"149","base load generation","biomass","biomass_base_IGCC_CCS",2030,60,"biomass (IGCC CCS) (dry cooling)"
"150","base load generation","coal","coal_base_conv pul",2030,60,"coal (conv pul) (once through)"
"151","base load generation","coal","coal_base_conv pul",2030,60,"coal (conv pul) (seawater)"
"152","base load generation","coal","coal_base_conv pul",2030,60,"coal (conv pul) (recirculating)"
"153","base load generation","coal","coal_base_conv pul",2030,60,"coal (conv pul) (cooling pond)"
"154","base load generation","coal","coal_base_conv pul",2030,60,"coal (conv pul) (dry cooling)"
"155","base load generation","coal","coal_base_conv pul_CCS",2030,60,"coal (conv pul CCS) (once through)"
"156","base load generation","coal","coal_base_conv pul_CCS",2030,60,"coal (conv pul CCS) (seawater)"
"157","base load generation","coal","coal_base_conv pul_CCS",2030,60,"coal (conv pul CCS) (recirculating)"
"158","base load generation","coal","coal_base_conv pul_CCS",2030,60,"coal (conv pul CCS) (dry cooling)"
"159","base load generation","coal","coal_base_IGCC",2030,60,"coal (IGCC) (once through)"
"160","base load generation","coal","coal_base_IGCC",2030,60,"coal (IGCC) (seawater)"
"161","base load generation","coal","coal_base_IGCC",2030,60,"coal (IGCC) (recirculating)"
"162","base load generation","coal","coal_base_IGCC",2030,60,"coal (IGCC) (dry cooling)"
"163","base load generation","coal","coal_base_IGCC_CCS",2030,60,"coal (IGCC CCS) (once through)"
"164","base load generation","coal","coal_base_IGCC_CCS",2030,60,"coal (IGCC CCS) (seawater)"
"165","base load generation","coal","coal_base_IGCC_CCS",2030,60,"coal (IGCC CCS) (recirculating)"
"166","base load generation","coal","coal_base_IGCC_CCS",2030,60,"coal (IGCC CCS) (dry cooling)"
"167","base load generation","gas","gas_base_CC",2030,45,"gas (CC) (once through)"
"168","base load generation","gas","gas_base_CC",2030,45,"gas (CC) (seawater)"
"169","base load generation","gas","gas_base_CC",2030,45,"gas (CC) (recirculating)"
"170","base load generation","gas","gas_base_CC",2030,45,"gas (CC) (cooling pond)"
"171","base load generation","gas","gas_base_CC",2030,45,"gas (CC) (dry cooling)"
"172","base load generation","gas","gas_base_CC_CCS",2030,45,"gas (CC CCS) (once through)"
"173","base load generation","gas","gas_base_CC_CCS",2030,45,"gas (CC CCS) (seawater)"
"174","base load generation","gas","gas_base_CC_CCS",2030,45,"gas (CC CCS) (recirculating)"
"175","base load generation","gas","gas_base_CC_CCS",2030,45,"gas (CC CCS) (dry cooling)"
"176","base load generation","geothermal","geo_base",2030,30,"geothermal (recirculating)"
"177","base load generation","geothermal","geo_base",2030,30,"geothermal (dry_hybrid)"
"178","base load generation","nuclear","nuc_base_Gen III",2030,60,"Gen_III (once through)"
"179","base load generation","nuclear","nuc_base_Gen III",2030,60,"Gen_III (seawater)"
"180","base load generation","nuclear","nuc_base_Gen III",2030,60,"Gen_III (recirculating)"
"181","base load generation","nuclear","nuc_base_Gen III",2030,60,"Gen_III (cooling pond)"
"182","base load generation","refined liquids","refined liquids_base_steam/CT",2030,45,"refined liquids (steam/CT) (once through)"
"183","base load generation","refined liquids","refined liquids_base_steam/CT",2030,45,"refined liquids (steam/CT) (seawater)"
"184","base load generation","refined liquids","refined liquids_base_steam/CT",2030,45,"refined liquids (steam/CT) (recirculating)"
"185","base load generation","refined liquids","refined liquids_base_steam/CT",2030,45,"refined liquids (steam/CT) (cooling pond)"
"186","base load generation","refined liquids","refined liquids_base_steam/CT",2030,45,"refined liquids (steam/CT) (dry cooling)"
"187","base load generation","refined liquids","refined liquids_base_CC",2030,45,"refined liquids (CC) (once through)"
"188","base load generation","refined liquids","refined liquids_base_CC",2030,45,"refined liquids (CC) (seawater)"
"189","base load generation","refined liquids","refined liquids_base_CC",2030,45,"refined liquids (CC) (recirculating)"
"190","base load generation","refined liquids","refined liquids_base_CC",2030,45,"refined liquids (CC) (dry cooling)"
"191","base load generation","refined liquids","refined liquids_base_CC_CCS",2030,45,"refined liquids (CC CCS) (once through)"
"192","base load generation","refined liquids","refined liquids_base_CC_CCS",2030,45,"refined liquids (CC CCS) (seawater)"
"193","base load generation","refined liquids","refined liquids_base_CC_CCS",2030,45,"refined liquids (CC CCS) (recirculating)"
"194","base load generation","refined liquids","refined liquids_base_CC_CCS",2030,45,"refined liquids (CC CCS) (dry cooling)"
"195","base load generation","solar","PV_base_storage",2030,30,"PV_base_storage"
"196","base load generation","solar","CSP_base_storage",2030,30,"CSP_base_storage"
"197","base load generation","wind","wind_base_storage",2030,30,"wind_base_storage"
"198","base load generation","biomass","biomass_base_conv",2035,60,"biomass (conv) (once through)"
"199","base load generation","biomass","biomass_base_conv",2035,60,"biomass (conv) (seawater)"
"200","base load generation","biomass","biomass_base_conv",2035,60,"biomass (conv) (recirculating)"
"201","base load generation","biomass","biomass_base_conv",2035,60,"biomass (conv) (cooling pond)"
"202","base load generation","biomass","biomass_base_conv",2035,60,"biomass (conv) (dry cooling)"
"203","base load generation","biomass","biomass_base_conv_CCS",2035,60,"biomass (conv CCS) (once through)"
"204","base load generation","biomass","biomass_base_conv_CCS",2035,60,"biomass (conv CCS) (seawater)"
"205","base load generation","biomass","biomass_base_conv_CCS",2035,60,"biomass (conv CCS) (recirculating)"
"206","base load generation","biomass","biomass_base_conv_CCS",2035,60,"biomass (conv CCS) (dry cooling)"
"207","base load generation","biomass","biomass_base_IGCC",2035,60,"biomass (IGCC) (once through)"
"208","base load generation","biomass","biomass_base_IGCC",2035,60,"biomass (IGCC) (seawater)"
"209","base load generation","biomass","biomass_base_IGCC",2035,60,"biomass (IGCC) (recirculating)"
"210","base load generation","biomass","biomass_base_IGCC",2035,60,"biomass (IGCC) (dry cooling)"
"211","base load generation","biomass","biomass_base_IGCC_CCS",2035,60,"biomass (IGCC CCS) (once through)"
"212","base load generation","biomass","biomass_base_IGCC_CCS",2035,60,"biomass (IGCC CCS) (seawater)"
"213","base load generation","biomass","biomass_base_IGCC_CCS",2035,60,"biomass (IGCC CCS) (recirculating)"
"214","base load generation","biomass","biomass_base_IGCC_CCS",2035,60,"biomass (IGCC CCS) (dry cooling)"
"215","base load generation","coal","coal_base_conv pul",2035,60,"coal (conv pul) (once through)"
"216","base load generation","coal","coal_base_conv pul",2035,60,"coal (conv pul) (seawater)"
"217","base load generation","coal","coal_base_conv pul",2035,60,"coal (conv pul) (recirculating)"
"218","base load generation","coal","coal_base_conv pul",2035,60,"coal (conv pul) (cooling pond)"
"219","base load generation","coal","coal_base_conv pul",2035,60,"coal (conv pul) (dry cooling)"
"220","base load generation","coal","coal_base_conv pul_CCS",2035,60,"coal (conv pul CCS) (once through)"
"221","base load generation","coal","coal_base_conv pul_CCS",2035,60,"coal (conv pul CCS) (seawater)"
"222","base load generation","coal","coal_base_conv pul_CCS",2035,60,"coal (conv pul CCS) (recirculating)"
"223","base load generation","coal","coal_base_conv pul_CCS",2035,60,"coal (conv pul CCS) (dry cooling)"
"224","base load generation","coal","coal_base_IGCC",2035,60,"coal (IGCC) (once through)"
"225","base load generation","coal","coal_base_IGCC",2035,60,"coal (IGCC) (seawater)"
"226","base load generation","coal","coal_base_IGCC",2035,60,"coal (IGCC) (recirculating)"
"227","base load generation","coal","coal_base_IGCC",2035,60,"coal (IGCC) (dry cooling)"
