"","supplysector","subsector.name0","subsector.name","year","lifetime","steepness","half.life","technology"
"66","peak generation","refined liquids","refined liquids_peak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (recirculating)"
"67","peak generation","refined liquids","refined liquids_peak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (cooling pond)"
"68","peak generation","refined liquids","refined liquids_peak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (dry cooling)"
"69","peak generation","grid_storage","battery",2015,15,0.1,30,"grid_storage"
"70","peak generation","grid_storage","battery",2020,15,0.1,30,"grid_storage"
"71","peak generation","grid_storage","battery",2025,15,0.1,30,"grid_storage"
"72","peak generation","grid_storage","battery",2030,15,0.1,30,"grid_storage"
"73","peak generation","grid_storage","battery",2035,15,0.1,30,"grid_storage"
"74","peak generation","grid_storage","battery",2040,15,0.1,30,"grid_storage"
"75","peak generation","grid_storage","battery",2045,15,0.1,30,"grid_storage"
"76","peak generation","grid_storage","battery",2050,15,0.1,30,"grid_storage"
"77","peak generation","grid_storage","battery",2055,15,0.1,30,"grid_storage"
"78","peak generation","grid_storage","battery",2060,15,0.1,30,"grid_storage"
"79","peak generation","grid_storage","battery",2065,15,0.1,30,"grid_storage"
"80","peak generation","grid_storage","battery",2070,15,0.1,30,"grid_storage"
"81","peak generation","grid_storage","battery",2075,15,0.1,30,"grid_storage"
"82","peak generation","grid_storage","battery",2080,15,0.1,30,"grid_storage"
"83","peak generation","grid_storage","battery",2085,15,0.1,30,"grid_storage"
"84","peak generation","grid_storage","battery",2090,15,0.1,30,"grid_storage"
"85","peak generation","grid_storage","battery",2095,15,0.1,30,"grid_storage"
"86","peak generation","grid_storage","battery",2100,15,0.1,30,"grid_storage"
"87","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.1,30,"coal (conv pul) (once through)"
"88","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.1,30,"coal (conv pul) (seawater)"
"89","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.1,30,"coal (conv pul) (recirculating)"
"90","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.1,30,"coal (conv pul) (cooling pond)"
