"","sector.name","subsector.name0","subsector.name","year","capacity.factor","technology"
"146","base load generation","biomass","biomass_base_conv",1990,0.85,"biomass (conv) (seawater)"
"147","base load generation","biomass","biomass_base_conv",1990,0.85,"biomass (conv) (recirculating)"
"148","base load generation","biomass","biomass_base_conv",1990,0.85,"biomass (conv) (cooling pond)"
"149","base load generation","biomass","biomass_base_conv",1990,0.85,"biomass (conv) (dry cooling)"
"150","base load generation","biomass","biomass_base_conv_CCS",1990,0.85,"biomass (conv CCS) (once through)"
"151","base load generation","biomass","biomass_base_conv_CCS",1990,0.85,"biomass (conv CCS) (seawater)"
"152","base load generation","biomass","biomass_base_conv_CCS",1990,0.85,"biomass (conv CCS) (recirculating)"
"153","base load generation","biomass","biomass_base_conv_CCS",1990,0.85,"biomass (conv CCS) (dry cooling)"
"154","base load generation","biomass","biomass_base_IGCC",1990,0.8,"biomass (IGCC) (once through)"
"155","base load generation","biomass","biomass_base_IGCC",1990,0.8,"biomass (IGCC) (seawater)"
"156","base load generation","biomass","biomass_base_IGCC",1990,0.8,"biomass (IGCC) (recirculating)"
"157","base load generation","biomass","biomass_base_IGCC",1990,0.8,"biomass (IGCC) (dry cooling)"
"158","base load generation","biomass","biomass_base_IGCC_CCS",1990,0.8,"biomass (IGCC CCS) (once through)"
"159","base load generation","biomass","biomass_base_IGCC_CCS",1990,0.8,"biomass (IGCC CCS) (seawater)"
"160","base load generation","biomass","biomass_base_IGCC_CCS",1990,0.8,"biomass (IGCC CCS) (recirculating)"
"161","base load generation","biomass","biomass_base_IGCC_CCS",1990,0.8,"biomass (IGCC CCS) (dry cooling)"
"162","base load generation","coal","coal_base_conv pul",1990,0.85,"coal (conv pul) (once through)"
"163","base load generation","coal","coal_base_conv pul",1990,0.85,"coal (conv pul) (seawater)"
"164","base load generation","coal","coal_base_conv pul",1990,0.85,"coal (conv pul) (recirculating)"
"165","base load generation","coal","coal_base_conv pul",1990,0.85,"coal (conv pul) (cooling pond)"
"166","base load generation","coal","coal_base_conv pul",1990,0.85,"coal (conv pul) (dry cooling)"
"167","base load generation","coal","coal_base_conv pul_CCS",1990,0.8,"coal (conv pul CCS) (once through)"
"168","base load generation","coal","coal_base_conv pul_CCS",1990,0.8,"coal (conv pul CCS) (seawater)"
"169","base load generation","coal","coal_base_conv pul_CCS",1990,0.8,"coal (conv pul CCS) (recirculating)"
"170","base load generation","coal","coal_base_conv pul_CCS",1990,0.8,"coal (conv pul CCS) (dry cooling)"
"171","base load generation","coal","coal_base_IGCC",1990,0.8,"coal (IGCC) (once through)"
"172","base load generation","coal","coal_base_IGCC",1990,0.8,"coal (IGCC) (seawater)"
"173","base load generation","coal","coal_base_IGCC",1990,0.8,"coal (IGCC) (recirculating)"
"174","base load generation","coal","coal_base_IGCC",1990,0.8,"coal (IGCC) (dry cooling)"
"175","base load generation","coal","coal_base_IGCC_CCS",1990,0.8,"coal (IGCC CCS) (once through)"
"176","base load generation","coal","coal_base_IGCC_CCS",1990,0.8,"coal (IGCC CCS) (seawater)"
"177","base load generation","coal","coal_base_IGCC_CCS",1990,0.8,"coal (IGCC CCS) (recirculating)"
