"","sector.name","subsector.name0","subsector.name","year","input.OM.fixed","OM.fixed","intermittent.technology"
"27","base load generation","wind","wind_base_offshore",2015,"OM-fixed",42.79,"wind_base_offshore"
"28","base load generation","wind","wind_base_offshore",2020,"OM-fixed",33.29,"wind_base_offshore"
"29","base load generation","wind","wind_base_offshore",2025,"OM-fixed",26.67,"wind_base_offshore"
"30","base load generation","wind","wind_base_offshore",2030,"OM-fixed",22.07,"wind_base_offshore"
"31","base load generation","wind","wind_base_offshore",2035,"OM-fixed",18.87,"wind_base_offshore"
"32","base load generation","wind","wind_base_offshore",2040,"OM-fixed",16.65,"wind_base_offshore"
"33","base load generation","wind","wind_base_offshore",2045,"OM-fixed",15.1,"wind_base_offshore"
"34","base load generation","wind","wind_base_offshore",2050,"OM-fixed",14.02,"wind_base_offshore"
"35","base load generation","wind","wind_base_offshore",2055,"OM-fixed",13.27,"wind_base_offshore"
"36","base load generation","wind","wind_base_offshore",2060,"OM-fixed",12.75,"wind_base_offshore"
"37","base load generation","wind","wind_base_offshore",2065,"OM-fixed",12.38,"wind_base_offshore"
"38","base load generation","wind","wind_base_offshore",2070,"OM-fixed",12.13,"wind_base_offshore"
"39","base load generation","wind","wind_base_offshore",2075,"OM-fixed",11.96,"wind_base_offshore"
"40","base load generation","wind","wind_base_offshore",2080,"OM-fixed",11.83,"wind_base_offshore"
"41","base load generation","wind","wind_base_offshore",2085,"OM-fixed",11.75,"wind_base_offshore"
"42","base load generation","wind","wind_base_offshore",2090,"OM-fixed",11.69,"wind_base_offshore"
"43","base load generation","wind","wind_base_offshore",2095,"OM-fixed",11.65,"wind_base_offshore"
"44","base load generation","wind","wind_base_offshore",2100,"OM-fixed",11.62,"wind_base_offshore"
"45","elect_td_bld","rooftop_pv","rooftop_pv",1975,"OM-fixed",7.16,"rooftop_pv"
"46","elect_td_bld","rooftop_pv","rooftop_pv",1990,"OM-fixed",7.16,"rooftop_pv"
"47","elect_td_bld","rooftop_pv","rooftop_pv",2005,"OM-fixed",7.16,"rooftop_pv"
"48","elect_td_bld","rooftop_pv","rooftop_pv",2010,"OM-fixed",7.16,"rooftop_pv"
"49","elect_td_bld","rooftop_pv","rooftop_pv",2015,"OM-fixed",7.16,"rooftop_pv"
"50","elect_td_bld","rooftop_pv","rooftop_pv",2020,"OM-fixed",5.6,"rooftop_pv"
