"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"92","TN","base load generation","wind","wind_base",1990,0.26
"93","TX","base load generation","wind","wind_base",1990,0.38
"94","UT","base load generation","wind","wind_base",1990,0.25
"95","VA","base load generation","wind","wind_base",1990,0.35
"96","VT","base load generation","wind","wind_base",1990,0.32
"97","WA","base load generation","wind","wind_base",1990,0.44
"98","WI","base load generation","wind","wind_base",1990,0.44
"99","WV","base load generation","wind","wind_base",1990,0.29
"100","WY","base load generation","wind","wind_base",1990,0.35
"101","AK","base load generation","wind","wind_base",2005,0.45
"102","AL","base load generation","wind","wind_base",2005,0.31
"103","AR","base load generation","wind","wind_base",2005,0.3
"104","AZ","base load generation","wind","wind_base",2005,0.26
"105","CA","base load generation","wind","wind_base",2005,0.44
"106","CO","base load generation","wind","wind_base",2005,0.34
"107","CT","base load generation","wind","wind_base",2005,0.44
"108","DE","base load generation","wind","wind_base",2005,0.33
"109","FL","base load generation","wind","wind_base",2005,0.38
"110","GA","base load generation","wind","wind_base",2005,0.24
"111","HI","base load generation","wind","wind_base",2005,0.29
"112","IA","base load generation","wind","wind_base",2005,0.33
"113","ID","base load generation","wind","wind_base",2005,0.26
"114","IL","base load generation","wind","wind_base",2005,0.38
"115","IN","base load generation","wind","wind_base",2005,0.32
"116","KS","base load generation","wind","wind_base",2005,0.35
"117","KY","base load generation","wind","wind_base",2005,0.26
"118","LA","base load generation","wind","wind_base",2005,0.41
"119","MA","base load generation","wind","wind_base",2005,0.44
"120","MD","base load generation","wind","wind_base",2005,0.37
"121","ME","base load generation","wind","wind_base",2005,0.41
"122","MI","base load generation","wind","wind_base",2005,0.45
"123","MN","base load generation","wind","wind_base",2005,0.45
"124","MO","base load generation","wind","wind_base",2005,0.31
"125","MS","base load generation","wind","wind_base",2005,0.27
"126","MT","base load generation","wind","wind_base",2005,0.36
"127","NC","base load generation","wind","wind_base",2005,0.35
"128","ND","base load generation","wind","wind_base",2005,0.34
"129","NE","base load generation","wind","wind_base",2005,0.36
"130","NH","base load generation","wind","wind_base",2005,0.38
"131","NJ","base load generation","wind","wind_base",2005,0.33
"132","NM","base load generation","wind","wind_base",2005,0.35
"133","NV","base load generation","wind","wind_base",2005,0.25
"134","NY","base load generation","wind","wind_base",2005,0.38
"135","OH","base load generation","wind","wind_base",2005,0.34
"136","OK","base load generation","wind","wind_base",2005,0.36
"137","OR","base load generation","wind","wind_base",2005,0.4
"138","PA","base load generation","wind","wind_base",2005,0.34
"139","RI","base load generation","wind","wind_base",2005,0.34
"140","SC","base load generation","wind","wind_base",2005,0.25
"141","SD","base load generation","wind","wind_base",2005,0.36
"142","TN","base load generation","wind","wind_base",2005,0.26
"143","TX","base load generation","wind","wind_base",2005,0.38
"144","UT","base load generation","wind","wind_base",2005,0.25
"145","VA","base load generation","wind","wind_base",2005,0.35
"146","VT","base load generation","wind","wind_base",2005,0.32
"147","WA","base load generation","wind","wind_base",2005,0.44
"148","WI","base load generation","wind","wind_base",2005,0.44
"149","WV","base load generation","wind","wind_base",2005,0.29
"150","WY","base load generation","wind","wind_base",2005,0.35
"151","AK","base load generation","wind","wind_base",2010,0.45
"152","AL","base load generation","wind","wind_base",2010,0.31
"153","AR","base load generation","wind","wind_base",2010,0.3
"154","AZ","base load generation","wind","wind_base",2010,0.26
"155","CA","base load generation","wind","wind_base",2010,0.44
"156","CO","base load generation","wind","wind_base",2010,0.34
"157","CT","base load generation","wind","wind_base",2010,0.44
"158","DE","base load generation","wind","wind_base",2010,0.33
"159","FL","base load generation","wind","wind_base",2010,0.38
"160","GA","base load generation","wind","wind_base",2010,0.24
"161","HI","base load generation","wind","wind_base",2010,0.29
"162","IA","base load generation","wind","wind_base",2010,0.33
"163","ID","base load generation","wind","wind_base",2010,0.26
"164","IL","base load generation","wind","wind_base",2010,0.38
"165","IN","base load generation","wind","wind_base",2010,0.32
"166","KS","base load generation","wind","wind_base",2010,0.35
"167","KY","base load generation","wind","wind_base",2010,0.26
"168","LA","base load generation","wind","wind_base",2010,0.41
"169","MA","base load generation","wind","wind_base",2010,0.44
"170","MD","base load generation","wind","wind_base",2010,0.37
"171","ME","base load generation","wind","wind_base",2010,0.41
"172","MI","base load generation","wind","wind_base",2010,0.45
"173","MN","base load generation","wind","wind_base",2010,0.45
"174","MO","base load generation","wind","wind_base",2010,0.31
"175","MS","base load generation","wind","wind_base",2010,0.27
"176","MT","base load generation","wind","wind_base",2010,0.36
"177","NC","base load generation","wind","wind_base",2010,0.35
"178","ND","base load generation","wind","wind_base",2010,0.34
