"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"68","AL","intermediate generation","wind","wind_int",2060,0.41,"electricity","wind_int","no cooling","none","none"
"69","AL","subpeak generation","wind","wind_subpeak",2060,0.41,"electricity","wind_subpeak","no cooling","none","none"
"70","AL","base load generation","wind","wind_base_storage",2060,0.41,"electricity","wind_base_storage","no cooling","none","none"
"71","AL","base load generation","wind","wind_base",2065,0.41,"electricity","wind_base","no cooling","none","none"
"72","AL","base load generation","wind","wind_base_offshore",2065,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"73","AL","intermediate generation","wind","wind_int",2065,0.41,"electricity","wind_int","no cooling","none","none"
"74","AL","subpeak generation","wind","wind_subpeak",2065,0.41,"electricity","wind_subpeak","no cooling","none","none"
"75","AL","base load generation","wind","wind_base_storage",2065,0.41,"electricity","wind_base_storage","no cooling","none","none"
"76","AL","base load generation","wind","wind_base",2070,0.41,"electricity","wind_base","no cooling","none","none"
"77","AL","base load generation","wind","wind_base_offshore",2070,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"78","AL","intermediate generation","wind","wind_int",2070,0.41,"electricity","wind_int","no cooling","none","none"
"79","AL","subpeak generation","wind","wind_subpeak",2070,0.41,"electricity","wind_subpeak","no cooling","none","none"
"80","AL","base load generation","wind","wind_base_storage",2070,0.41,"electricity","wind_base_storage","no cooling","none","none"
"81","AL","base load generation","wind","wind_base",2075,0.41,"electricity","wind_base","no cooling","none","none"
"82","AL","base load generation","wind","wind_base_offshore",2075,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"83","AL","intermediate generation","wind","wind_int",2075,0.41,"electricity","wind_int","no cooling","none","none"
"84","AL","subpeak generation","wind","wind_subpeak",2075,0.41,"electricity","wind_subpeak","no cooling","none","none"
"85","AL","base load generation","wind","wind_base_storage",2075,0.41,"electricity","wind_base_storage","no cooling","none","none"
"86","AL","base load generation","wind","wind_base",2080,0.41,"electricity","wind_base","no cooling","none","none"
"87","AL","base load generation","wind","wind_base_offshore",2080,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"88","AL","intermediate generation","wind","wind_int",2080,0.41,"electricity","wind_int","no cooling","none","none"
"89","AL","subpeak generation","wind","wind_subpeak",2080,0.41,"electricity","wind_subpeak","no cooling","none","none"
"90","AL","base load generation","wind","wind_base_storage",2080,0.41,"electricity","wind_base_storage","no cooling","none","none"
"91","AL","base load generation","wind","wind_base",2085,0.41,"electricity","wind_base","no cooling","none","none"
"92","AL","base load generation","wind","wind_base_offshore",2085,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"93","AL","intermediate generation","wind","wind_int",2085,0.41,"electricity","wind_int","no cooling","none","none"
"94","AL","subpeak generation","wind","wind_subpeak",2085,0.41,"electricity","wind_subpeak","no cooling","none","none"
"95","AL","base load generation","wind","wind_base_storage",2085,0.41,"electricity","wind_base_storage","no cooling","none","none"
"96","AL","base load generation","wind","wind_base",2090,0.41,"electricity","wind_base","no cooling","none","none"
"97","AL","base load generation","wind","wind_base_offshore",2090,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"98","AL","intermediate generation","wind","wind_int",2090,0.41,"electricity","wind_int","no cooling","none","none"
"99","AL","subpeak generation","wind","wind_subpeak",2090,0.41,"electricity","wind_subpeak","no cooling","none","none"
"100","AL","base load generation","wind","wind_base_storage",2090,0.41,"electricity","wind_base_storage","no cooling","none","none"
"101","AL","base load generation","wind","wind_base",2095,0.41,"electricity","wind_base","no cooling","none","none"
"102","AL","base load generation","wind","wind_base_offshore",2095,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"103","AL","intermediate generation","wind","wind_int",2095,0.41,"electricity","wind_int","no cooling","none","none"
"104","AL","subpeak generation","wind","wind_subpeak",2095,0.41,"electricity","wind_subpeak","no cooling","none","none"
"105","AL","base load generation","wind","wind_base_storage",2095,0.41,"electricity","wind_base_storage","no cooling","none","none"
