"","supplysector","subsector","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"66","peak generation","coal","coal_peak_conv pul_retire_2020",2100,"capital",881,0.13
"67","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",1975,"capital",1015,0.13
"68","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",1990,"capital",1015,0.13
"69","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2005,"capital",1015,0.13
"70","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2010,"capital",1015,0.13
"71","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2015,"capital",1015,0.13
"72","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2020,"capital",999,0.13
"73","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2025,"capital",985,0.13
"74","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2030,"capital",972,0.13
"75","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2035,"capital",961,0.13
"76","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2040,"capital",950,0.13
"77","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2045,"capital",941,0.13
"78","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2050,"capital",932,0.13
"79","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2055,"capital",925,0.13
"80","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2060,"capital",918,0.13
"81","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2065,"capital",911,0.13
"82","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2070,"capital",906,0.13
"83","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2075,"capital",901,0.13
"84","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2080,"capital",896,0.13
"85","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2085,"capital",892,0.13
"86","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2090,"capital",888,0.13
"87","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2095,"capital",885,0.13
"88","subpeak generation","coal","coal_subpeak_conv pul_retire_2020",2100,"capital",881,0.13
