"","sector.name","subsector.name","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"59","base load generation","coal","coal_base_conv pul 1961-1965",2065,"capital",911,0.13
"60","base load generation","coal","coal_base_conv pul 1961-1965",2070,"capital",906,0.13
"61","base load generation","coal","coal_base_conv pul 1961-1965",2075,"capital",901,0.13
"62","base load generation","coal","coal_base_conv pul 1961-1965",2080,"capital",896,0.13
"63","base load generation","coal","coal_base_conv pul 1961-1965",2085,"capital",892,0.13
"64","base load generation","coal","coal_base_conv pul 1961-1965",2090,"capital",888,0.13
"65","base load generation","coal","coal_base_conv pul 1961-1965",2095,"capital",885,0.13
"66","base load generation","coal","coal_base_conv pul 1961-1965",2100,"capital",881,0.13
"67","base load generation","coal","coal_base_conv pul 1966-1970",1975,"capital",1015,0.13
"68","base load generation","coal","coal_base_conv pul 1966-1970",1990,"capital",1015,0.13
"69","base load generation","coal","coal_base_conv pul 1966-1970",2005,"capital",1015,0.13
"70","base load generation","coal","coal_base_conv pul 1966-1970",2010,"capital",1015,0.13
"71","base load generation","coal","coal_base_conv pul 1966-1970",2015,"capital",1015,0.13
"72","base load generation","coal","coal_base_conv pul 1966-1970",2020,"capital",999,0.13
"73","base load generation","coal","coal_base_conv pul 1966-1970",2025,"capital",985,0.13
"74","base load generation","coal","coal_base_conv pul 1966-1970",2030,"capital",972,0.13
"75","base load generation","coal","coal_base_conv pul 1966-1970",2035,"capital",961,0.13
"76","base load generation","coal","coal_base_conv pul 1966-1970",2040,"capital",950,0.13
"77","base load generation","coal","coal_base_conv pul 1966-1970",2045,"capital",941,0.13
"78","base load generation","coal","coal_base_conv pul 1966-1970",2050,"capital",932,0.13
"79","base load generation","coal","coal_base_conv pul 1966-1970",2055,"capital",925,0.13
"80","base load generation","coal","coal_base_conv pul 1966-1970",2060,"capital",918,0.13
"81","base load generation","coal","coal_base_conv pul 1966-1970",2065,"capital",911,0.13
"82","base load generation","coal","coal_base_conv pul 1966-1970",2070,"capital",906,0.13
"83","base load generation","coal","coal_base_conv pul 1966-1970",2075,"capital",901,0.13
"84","base load generation","coal","coal_base_conv pul 1966-1970",2080,"capital",896,0.13
"85","base load generation","coal","coal_base_conv pul 1966-1970",2085,"capital",892,0.13
"86","base load generation","coal","coal_base_conv pul 1966-1970",2090,"capital",888,0.13
"87","base load generation","coal","coal_base_conv pul 1966-1970",2095,"capital",885,0.13
"88","base load generation","coal","coal_base_conv pul 1966-1970",2100,"capital",881,0.13
"89","base load generation","coal","coal_base_conv pul 1971-1975",1975,"capital",1015,0.13
"90","base load generation","coal","coal_base_conv pul 1971-1975",1990,"capital",1015,0.13
"91","base load generation","coal","coal_base_conv pul 1971-1975",2005,"capital",1015,0.13
"92","base load generation","coal","coal_base_conv pul 1971-1975",2010,"capital",1015,0.13
"93","base load generation","coal","coal_base_conv pul 1971-1975",2015,"capital",1015,0.13
"94","base load generation","coal","coal_base_conv pul 1971-1975",2020,"capital",999,0.13
"95","base load generation","coal","coal_base_conv pul 1971-1975",2025,"capital",985,0.13
"96","base load generation","coal","coal_base_conv pul 1971-1975",2030,"capital",972,0.13
"97","base load generation","coal","coal_base_conv pul 1971-1975",2035,"capital",961,0.13
"98","base load generation","coal","coal_base_conv pul 1971-1975",2040,"capital",950,0.13
"99","base load generation","coal","coal_base_conv pul 1971-1975",2045,"capital",941,0.13
"100","base load generation","coal","coal_base_conv pul 1971-1975",2050,"capital",932,0.13
"101","base load generation","coal","coal_base_conv pul 1971-1975",2055,"capital",925,0.13
"102","base load generation","coal","coal_base_conv pul 1971-1975",2060,"capital",918,0.13
"103","base load generation","coal","coal_base_conv pul 1971-1975",2065,"capital",911,0.13
"104","base load generation","coal","coal_base_conv pul 1971-1975",2070,"capital",906,0.13
"105","base load generation","coal","coal_base_conv pul 1971-1975",2075,"capital",901,0.13
"106","base load generation","coal","coal_base_conv pul 1971-1975",2080,"capital",896,0.13
"107","base load generation","coal","coal_base_conv pul 1971-1975",2085,"capital",892,0.13
"108","base load generation","coal","coal_base_conv pul 1971-1975",2090,"capital",888,0.13
"109","base load generation","coal","coal_base_conv pul 1971-1975",2095,"capital",885,0.13
"110","base load generation","coal","coal_base_conv pul 1971-1975",2100,"capital",881,0.13
"111","base load generation","coal","coal_base_conv pul 1976-1980",1975,"capital",1015,0.13
"112","base load generation","coal","coal_base_conv pul 1976-1980",1990,"capital",1015,0.13
"113","base load generation","coal","coal_base_conv pul 1976-1980",2005,"capital",1015,0.13
"114","base load generation","coal","coal_base_conv pul 1976-1980",2010,"capital",1015,0.13
"115","base load generation","coal","coal_base_conv pul 1976-1980",2015,"capital",1015,0.13
"116","base load generation","coal","coal_base_conv pul 1976-1980",2020,"capital",999,0.13
"117","base load generation","coal","coal_base_conv pul 1976-1980",2025,"capital",985,0.13
"118","base load generation","coal","coal_base_conv pul 1976-1980",2030,"capital",972,0.13
"119","base load generation","coal","coal_base_conv pul 1976-1980",2035,"capital",961,0.13
"120","base load generation","coal","coal_base_conv pul 1976-1980",2040,"capital",950,0.13
"121","base load generation","coal","coal_base_conv pul 1976-1980",2045,"capital",941,0.13
"122","base load generation","coal","coal_base_conv pul 1976-1980",2050,"capital",932,0.13
"123","base load generation","coal","coal_base_conv pul 1976-1980",2055,"capital",925,0.13
"124","base load generation","coal","coal_base_conv pul 1976-1980",2060,"capital",918,0.13
"125","base load generation","coal","coal_base_conv pul 1976-1980",2065,"capital",911,0.13
"126","base load generation","coal","coal_base_conv pul 1976-1980",2070,"capital",906,0.13
"127","base load generation","coal","coal_base_conv pul 1976-1980",2075,"capital",901,0.13
"128","base load generation","coal","coal_base_conv pul 1976-1980",2080,"capital",896,0.13
"129","base load generation","coal","coal_base_conv pul 1976-1980",2085,"capital",892,0.13
"130","base load generation","coal","coal_base_conv pul 1976-1980",2090,"capital",888,0.13
"131","base load generation","coal","coal_base_conv pul 1976-1980",2095,"capital",885,0.13
"132","base load generation","coal","coal_base_conv pul 1976-1980",2100,"capital",881,0.13
"133","base load generation","coal","coal_base_conv pul 1981-1985",1975,"capital",1015,0.13
"134","base load generation","coal","coal_base_conv pul 1981-1985",1990,"capital",1015,0.13
"135","base load generation","coal","coal_base_conv pul 1981-1985",2005,"capital",1015,0.13
"136","base load generation","coal","coal_base_conv pul 1981-1985",2010,"capital",1015,0.13
"137","base load generation","coal","coal_base_conv pul 1981-1985",2015,"capital",1015,0.13
"138","base load generation","coal","coal_base_conv pul 1981-1985",2020,"capital",999,0.13
"139","base load generation","coal","coal_base_conv pul 1981-1985",2025,"capital",985,0.13
"140","base load generation","coal","coal_base_conv pul 1981-1985",2030,"capital",972,0.13
"141","base load generation","coal","coal_base_conv pul 1981-1985",2035,"capital",961,0.13
"142","base load generation","coal","coal_base_conv pul 1981-1985",2040,"capital",950,0.13
"143","base load generation","coal","coal_base_conv pul 1981-1985",2045,"capital",941,0.13
"144","base load generation","coal","coal_base_conv pul 1981-1985",2050,"capital",932,0.13
"145","base load generation","coal","coal_base_conv pul 1981-1985",2055,"capital",925,0.13
"146","base load generation","coal","coal_base_conv pul 1981-1985",2060,"capital",918,0.13
"147","base load generation","coal","coal_base_conv pul 1981-1985",2065,"capital",911,0.13
"148","base load generation","coal","coal_base_conv pul 1981-1985",2070,"capital",906,0.13
"149","base load generation","coal","coal_base_conv pul 1981-1985",2075,"capital",901,0.13
"150","base load generation","coal","coal_base_conv pul 1981-1985",2080,"capital",896,0.13
