"","sector.name","subsector.name0","subsector.name","year","technology","input.capital","capital.overnight","fixed.charge.rate"
"129","base load generation","coal","coal_base_conv pul 2006-2010",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"130","base load generation","coal","coal_base_conv pul 2011-2015",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"131","base load generation","coal","coal_base_conv pul 2011-2015",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"132","base load generation","coal","coal_base_conv pul 2011-2015",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"133","base load generation","coal","coal_base_conv pul 2011-2015",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"134","base load generation","coal","coal_base_conv pul 2011-2015",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"135","base load generation","coal","coal_base_conv pul before 1950",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"136","base load generation","coal","coal_base_conv pul before 1950",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"137","base load generation","coal","coal_base_conv pul before 1950",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"138","base load generation","coal","coal_base_conv pul before 1950",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"139","base load generation","coal","coal_base_conv pul before 1950",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"140","base load generation","coal","coal_base_conv pul_retire_2020",1975,"coal (conv pul) (once through)","cooling system",6,0.15
"141","base load generation","coal","coal_base_conv pul_retire_2020",1975,"coal (conv pul) (seawater)","cooling system",6,0.15
"142","base load generation","coal","coal_base_conv pul_retire_2020",1975,"coal (conv pul) (recirculating)","cooling system",10,0.15
"143","base load generation","coal","coal_base_conv pul_retire_2020",1975,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"144","base load generation","coal","coal_base_conv pul_retire_2020",1975,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"145","base load generation","biomass","biomass_base_conv",1990,"biomass (conv) (once through)","cooling system",6,0.15
"146","base load generation","biomass","biomass_base_conv",1990,"biomass (conv) (seawater)","cooling system",6,0.15
"147","base load generation","biomass","biomass_base_conv",1990,"biomass (conv) (recirculating)","cooling system",10,0.15
"148","base load generation","biomass","biomass_base_conv",1990,"biomass (conv) (cooling pond)","cooling system",9,0.15
"149","base load generation","biomass","biomass_base_conv",1990,"biomass (conv) (dry cooling)","cooling system",62,0.15
"150","base load generation","biomass","biomass_base_conv_CCS",1990,"biomass (conv CCS) (once through)","cooling system",6,0.15
"151","base load generation","biomass","biomass_base_conv_CCS",1990,"biomass (conv CCS) (seawater)","cooling system",6,0.15
"152","base load generation","biomass","biomass_base_conv_CCS",1990,"biomass (conv CCS) (recirculating)","cooling system",10,0.15
"153","base load generation","biomass","biomass_base_conv_CCS",1990,"biomass (conv CCS) (dry cooling)","cooling system",62,0.15
"154","base load generation","biomass","biomass_base_IGCC",1990,"biomass (IGCC) (once through)","cooling system",6,0.15
"155","base load generation","biomass","biomass_base_IGCC",1990,"biomass (IGCC) (seawater)","cooling system",6,0.15
"156","base load generation","biomass","biomass_base_IGCC",1990,"biomass (IGCC) (recirculating)","cooling system",10,0.15
"157","base load generation","biomass","biomass_base_IGCC",1990,"biomass (IGCC) (dry cooling)","cooling system",62,0.15
"158","base load generation","biomass","biomass_base_IGCC_CCS",1990,"biomass (IGCC CCS) (once through)","cooling system",6,0.15
"159","base load generation","biomass","biomass_base_IGCC_CCS",1990,"biomass (IGCC CCS) (seawater)","cooling system",6,0.15
"160","base load generation","biomass","biomass_base_IGCC_CCS",1990,"biomass (IGCC CCS) (recirculating)","cooling system",10,0.15
"161","base load generation","biomass","biomass_base_IGCC_CCS",1990,"biomass (IGCC CCS) (dry cooling)","cooling system",62,0.15
