"","year","input.capital","capital.overnight","fixed.charge.rate","supplysector","subsector0","subsector","intermittent.technology"
"142",2010,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"143",2010,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"144",2010,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"145",2015,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"146",2015,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"147",2015,"capital",1362,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"148",2020,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"149",2020,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"150",2020,"capital",1070,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"151",2025,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"152",2025,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"153",2025,"capital",877,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"154",2030,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"155",2030,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"156",2030,"capital",750,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"157",2035,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"158",2035,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"159",2035,"capital",666,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"160",2040,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"161",2040,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"162",2040,"capital",611,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"163",2045,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"164",2045,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"165",2045,"capital",574,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"166",2050,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"167",2050,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"168",2050,"capital",550,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"169",2055,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"170",2055,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"171",2055,"capital",535,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"172",2060,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"173",2060,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"174",2060,"capital",524,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"175",2065,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"176",2065,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"177",2065,"capital",517,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"178",2070,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"179",2070,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"180",2070,"capital",513,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"181",2075,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"182",2075,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"183",2075,"capital",510,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"184",2080,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"185",2080,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"186",2080,"capital",508,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"187",2085,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"188",2085,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"189",2085,"capital",507,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"190",2090,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"191",2090,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"192",2090,"capital",506,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"193",2095,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"194",2095,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"195",2095,"capital",505,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"196",2100,"cooling system",10,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"197",2100,"cooling system",62,0.15,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"198",2100,"capital",505,0.13,"intermediate generation","solar","CSP_int","CSP_int (recirculating)"
"199",1975,"capital",667,0.13,"intermediate generation","solar","PV_int","PV_int"
"200",1990,"capital",667,0.13,"intermediate generation","solar","PV_int","PV_int"
"201",2005,"capital",667,0.13,"intermediate generation","solar","PV_int","PV_int"
"202",2010,"capital",667,0.13,"intermediate generation","solar","PV_int","PV_int"
"203",2015,"capital",667,0.13,"intermediate generation","solar","PV_int","PV_int"
"204",2020,"capital",478,0.13,"intermediate generation","solar","PV_int","PV_int"
"205",2025,"capital",367,0.13,"intermediate generation","solar","PV_int","PV_int"
"206",2030,"capital",301,0.13,"intermediate generation","solar","PV_int","PV_int"
"207",2035,"capital",263,0.13,"intermediate generation","solar","PV_int","PV_int"
"208",2040,"capital",240,0.13,"intermediate generation","solar","PV_int","PV_int"
"209",2045,"capital",226,0.13,"intermediate generation","solar","PV_int","PV_int"
"210",2050,"capital",218,0.13,"intermediate generation","solar","PV_int","PV_int"
"211",2055,"capital",213,0.13,"intermediate generation","solar","PV_int","PV_int"
"212",2060,"capital",211,0.13,"intermediate generation","solar","PV_int","PV_int"
"213",2065,"capital",209,0.13,"intermediate generation","solar","PV_int","PV_int"
"214",2070,"capital",208,0.13,"intermediate generation","solar","PV_int","PV_int"
"215",2075,"capital",207,0.13,"intermediate generation","solar","PV_int","PV_int"
"216",2080,"capital",207,0.13,"intermediate generation","solar","PV_int","PV_int"
"217",2085,"capital",207,0.13,"intermediate generation","solar","PV_int","PV_int"
"218",2090,"capital",207,0.13,"intermediate generation","solar","PV_int","PV_int"
"219",2095,"capital",207,0.13,"intermediate generation","solar","PV_int","PV_int"
"220",2100,"capital",207,0.13,"intermediate generation","solar","PV_int","PV_int"
"221",1975,"capital",451,0.13,"intermediate generation","wind","wind_int","wind_int"
"222",1990,"capital",451,0.13,"intermediate generation","wind","wind_int","wind_int"
"223",2005,"capital",451,0.13,"intermediate generation","wind","wind_int","wind_int"
"224",2010,"capital",451,0.13,"intermediate generation","wind","wind_int","wind_int"
"225",2015,"capital",451,0.13,"intermediate generation","wind","wind_int","wind_int"
"226",2020,"capital",406,0.13,"intermediate generation","wind","wind_int","wind_int"
"227",2025,"capital",371,0.13,"intermediate generation","wind","wind_int","wind_int"
"228",2030,"capital",345,0.13,"intermediate generation","wind","wind_int","wind_int"
"229",2035,"capital",324,0.13,"intermediate generation","wind","wind_int","wind_int"
"230",2040,"capital",308,0.13,"intermediate generation","wind","wind_int","wind_int"
"231",2045,"capital",295,0.13,"intermediate generation","wind","wind_int","wind_int"
"232",2050,"capital",286,0.13,"intermediate generation","wind","wind_int","wind_int"
"233",2055,"capital",278,0.13,"intermediate generation","wind","wind_int","wind_int"
"234",2060,"capital",272,0.13,"intermediate generation","wind","wind_int","wind_int"
"235",2065,"capital",268,0.13,"intermediate generation","wind","wind_int","wind_int"
"236",2070,"capital",264,0.13,"intermediate generation","wind","wind_int","wind_int"
"237",2075,"capital",262,0.13,"intermediate generation","wind","wind_int","wind_int"
"238",2080,"capital",260,0.13,"intermediate generation","wind","wind_int","wind_int"
"239",2085,"capital",258,0.13,"intermediate generation","wind","wind_int","wind_int"
"240",2090,"capital",257,0.13,"intermediate generation","wind","wind_int","wind_int"
"241",2095,"capital",256,0.13,"intermediate generation","wind","wind_int","wind_int"
"242",2100,"capital",255,0.13,"intermediate generation","wind","wind_int","wind_int"
"243",1975,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"244",1975,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"245",1975,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"246",1990,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"247",1990,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"248",1990,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"249",2005,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"250",2005,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"251",2005,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"252",2010,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"253",2010,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"254",2010,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"255",2015,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"256",2015,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"257",2015,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"258",2020,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"259",2020,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"260",2020,"capital",1070,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"261",2025,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"262",2025,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"263",2025,"capital",877,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"264",2030,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"265",2030,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"266",2030,"capital",750,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"267",2035,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"268",2035,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"269",2035,"capital",666,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"270",2040,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"271",2040,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"272",2040,"capital",611,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"273",2045,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"274",2045,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"275",2045,"capital",574,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"276",2050,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"277",2050,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"278",2050,"capital",550,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"279",2055,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"280",2055,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"281",2055,"capital",535,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"282",2060,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"283",2060,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"284",2060,"capital",524,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"285",2065,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"286",2065,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"287",2065,"capital",517,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"288",2070,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"289",2070,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"290",2070,"capital",513,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"291",2075,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"292",2075,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"293",2075,"capital",510,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"294",2080,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"295",2080,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"296",2080,"capital",508,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"297",2085,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"298",2085,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"299",2085,"capital",507,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
